               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.073023,            0.028757,            0.028314,          0.00056305,             0.19444,           0.0005294,          6.5903e-05,            0.061085,            0.013512,            0.024216,              0.0739,              0.0029,              0.0029
                   1,            0.059789,            0.027763,            0.027081,          0.00095159,             0.34815,           0.0023939,          0.00033955,            0.050925,            0.013439,            0.023474,            0.046871,           0.0058708,           0.0058708
                   2,            0.053692,            0.027572,            0.026314,           0.0044027,                   1,             0.32112,            0.085518,            0.046194,            0.014153,            0.022357,            0.019812,           0.0088119,           0.0088119
                   3,            0.047083,             0.02679,            0.026504,           0.0027183,             0.81759,            0.028746,           0.0047526,             0.05177,           0.0071592,            0.023355,           0.0098515,           0.0098515,           0.0098515
                   4,            0.042845,            0.026985,            0.026587,           0.0033357,                   1,             0.19994,            0.044449,            0.037785,            0.012148,             0.02054,           0.0098515,           0.0098515,           0.0098515
                   5,            0.042828,            0.025599,            0.028502,           0.0033444,                   1,            0.025843,           0.0080056,            0.042853,           0.0077596,            0.021222,            0.009802,            0.009802,            0.009802
                   6,            0.040089,             0.02526,            0.026631,            0.041821,             0.88426,            0.080763,            0.022645,            0.043953,            0.014024,             0.01956,           0.0097525,           0.0097525,           0.0097525
                   7,            0.040245,              0.0237,            0.027345,             0.27682,             0.50749,             0.36604,             0.14513,            0.029176,           0.0098372,             0.02005,            0.009703,            0.009703,            0.009703
                   8,            0.032874,            0.022787,            0.024951,             0.22113,             0.66667,             0.41846,             0.22046,             0.02995,           0.0063491,            0.021323,           0.0096535,           0.0096535,           0.0096535
                   9,             0.03404,             0.02143,            0.027133,              0.1462,             0.81481,             0.31679,             0.15713,            0.022454,            0.005859,            0.020581,            0.009604,            0.009604,            0.009604
